               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.12199,             0.15186,            0.039301,            0.020465,             0.13409,            0.014167,           0.0030039,             0.11301,             0.17265,             0.03989,             0.05335,             0.00335,             0.00335
                  51,             0.11461,             0.19505,            0.037814,            0.020465,             0.13409,            0.014167,           0.0030039,             0.11301,             0.17265,             0.03989,            0.052383,           0.0033833,           0.0033833
                  52,             0.11338,             0.18392,            0.039045,            0.020465,             0.13409,            0.014167,           0.0030039,             0.11301,             0.17265,             0.03989,            0.051415,           0.0034154,           0.0034154
                  53,             0.11344,             0.24926,            0.039996,            0.025266,             0.12726,            0.018549,           0.0030375,             0.11259,             0.17474,            0.039423,            0.050446,           0.0034461,           0.0034461
                  54,             0.11754,             0.22809,            0.039813,            0.025266,             0.12726,            0.018549,           0.0030375,             0.11259,             0.17474,            0.039423,            0.049475,           0.0034754,           0.0034754
                  55,             0.11857,             0.24216,            0.038748,            0.025266,             0.12726,            0.018549,           0.0030375,             0.11259,             0.17474,            0.039423,            0.048504,           0.0035035,           0.0035035
                  56,             0.11734,             0.30727,            0.038801,            0.021274,             0.10774,            0.013761,           0.0030054,             0.11205,             0.17633,             0.03902,             0.04753,           0.0035302,           0.0035302
                  57,             0.11477,             0.15751,            0.037772,            0.021274,             0.10774,            0.013761,           0.0030054,             0.11205,             0.17633,             0.03902,            0.046556,           0.0035557,           0.0035557
                  58,             0.11529,             0.15648,            0.038411,            0.021274,             0.10774,            0.013761,           0.0030054,             0.11205,             0.17633,             0.03902,             0.04558,           0.0035798,           0.0035798
                  59,             0.11272,             0.16787,            0.039382,            0.024894,             0.13735,            0.016854,           0.0036236,             0.11244,             0.17315,            0.039056,            0.044603,           0.0036025,           0.0036025
                  60,             0.11499,             0.22083,            0.037686,            0.024894,             0.13735,            0.016854,           0.0036236,             0.11244,             0.17315,            0.039056,            0.043624,            0.003624,            0.003624
                  61,             0.11454,             0.15555,            0.038966,            0.024894,             0.13735,            0.016854,           0.0036236,             0.11244,             0.17315,            0.039056,            0.042644,           0.0036441,           0.0036441
                  62,             0.10941,             0.16848,            0.038765,            0.018444,             0.13048,             0.01214,           0.0025348,             0.11224,             0.17503,            0.038644,            0.041663,            0.003663,            0.003663
                  63,             0.11376,             0.28909,            0.037947,            0.018444,             0.13048,             0.01214,           0.0025348,             0.11224,             0.17503,            0.038644,             0.04068,           0.0036805,           0.0036805
                  64,              0.1122,             0.16367,            0.039333,            0.018444,             0.13048,             0.01214,           0.0025348,             0.11224,             0.17503,            0.038644,            0.039697,           0.0036966,           0.0036966
                  65,               0.115,             0.16141,            0.038826,            0.025994,             0.16847,            0.018104,           0.0041759,             0.11212,             0.16924,            0.036823,            0.038711,           0.0037115,           0.0037115
                  66,             0.11697,             0.23921,            0.037538,            0.025994,             0.16847,            0.018104,           0.0041759,             0.11212,             0.16924,            0.036823,            0.037725,            0.003725,            0.003725
                  67,             0.11818,             0.28217,            0.037941,            0.025994,             0.16847,            0.018104,           0.0041759,             0.11212,             0.16924,            0.036823,            0.036737,           0.0037373,           0.0037373
                  68,             0.11826,             0.20489,            0.037856,            0.022672,             0.16526,             0.02157,           0.0044032,             0.11281,              0.1628,            0.036832,            0.035748,           0.0037482,           0.0037482
                  69,             0.12127,             0.18659,            0.037288,            0.022672,             0.16526,             0.02157,           0.0044032,             0.11281,              0.1628,            0.036832,            0.034758,           0.0037577,           0.0037577
                  70,             0.11445,             0.23299,            0.038258,            0.022672,             0.16526,             0.02157,           0.0044032,             0.11281,              0.1628,            0.036832,            0.033766,            0.003766,            0.003766
                  71,             0.11377,             0.20959,            0.036777,            0.023124,              0.1633,            0.018391,           0.0056175,             0.11517,             0.15088,            0.037491,            0.032773,           0.0037729,           0.0037729
                  72,             0.11266,              0.2977,            0.038951,            0.023124,              0.1633,            0.018391,           0.0056175,             0.11517,             0.15088,            0.037491,            0.031779,           0.0037786,           0.0037786
                  73,              0.1114,             0.20277,            0.037564,            0.023124,              0.1633,            0.018391,           0.0056175,             0.11517,             0.15088,            0.037491,            0.030783,           0.0037829,           0.0037829
                  74,             0.11127,             0.25719,            0.038012,            0.032364,             0.07974,            0.028538,           0.0055167,             0.11473,             0.15155,            0.037546,            0.029786,           0.0037858,           0.0037858
                  75,             0.11443,             0.16357,            0.038578,            0.032364,             0.07974,            0.028538,           0.0055167,             0.11473,             0.15155,            0.037546,            0.028788,           0.0037875,           0.0037875
                  76,             0.11858,             0.26118,            0.035719,            0.032364,             0.07974,            0.028538,           0.0055167,             0.11473,             0.15155,            0.037546,            0.027788,           0.0037878,           0.0037878
                  77,             0.11233,             0.22441,            0.036815,            0.037639,            0.064007,            0.015762,           0.0038545,             0.11169,             0.16457,            0.036951,            0.026787,           0.0037869,           0.0037869
                  78,             0.11115,             0.15221,            0.037568,            0.037639,            0.064007,            0.015762,           0.0038545,             0.11169,             0.16457,            0.036951,            0.025785,           0.0037846,           0.0037846
                  79,             0.11346,             0.20308,             0.03764,            0.037639,            0.064007,            0.015762,           0.0038545,             0.11169,             0.16457,            0.036951,            0.024781,           0.0037809,           0.0037809
                  80,             0.11047,             0.21557,               0.038,            0.039261,             0.13414,            0.021589,           0.0057424,             0.11511,             0.14798,             0.03674,            0.023776,            0.003776,            0.003776
                  81,              0.1134,             0.12674,            0.038594,            0.039261,             0.13414,            0.021589,           0.0057424,             0.11511,             0.14798,             0.03674,             0.02277,           0.0037697,           0.0037697
                  82,              0.1123,             0.24593,            0.037304,            0.039261,             0.13414,            0.021589,           0.0057424,             0.11511,             0.14798,             0.03674,            0.021762,           0.0037622,           0.0037622
                  83,             0.10938,             0.23497,            0.037167,            0.034265,             0.13931,            0.018454,           0.0049609,             0.11398,             0.15166,            0.035852,            0.020753,           0.0037533,           0.0037533
                  84,             0.11345,             0.23077,            0.036893,            0.034265,             0.13931,            0.018454,           0.0049609,             0.11398,             0.15166,            0.035852,            0.019743,            0.003743,            0.003743
                  85,              0.1094,             0.27402,            0.038078,            0.034265,             0.13931,            0.018454,           0.0049609,             0.11398,             0.15166,            0.035852,            0.018732,           0.0037315,           0.0037315
                  86,             0.11295,             0.17069,            0.036188,            0.034265,             0.13931,            0.018454,           0.0049609,             0.11398,             0.15166,            0.035852,            0.017719,           0.0037186,           0.0037186
                  87,             0.10527,             0.19271,            0.039314,            0.029992,             0.12661,            0.016959,           0.0053166,             0.11257,             0.15666,            0.036511,            0.016704,           0.0037045,           0.0037045
                  88,             0.10961,             0.17328,            0.037194,            0.029992,             0.12661,            0.016959,           0.0053166,             0.11257,             0.15666,            0.036511,            0.015689,            0.003689,            0.003689
                  89,             0.11559,             0.18664,             0.03779,            0.029992,             0.12661,            0.016959,           0.0053166,             0.11257,             0.15666,            0.036511,            0.014672,           0.0036721,           0.0036721
                  90,             0.11151,             0.20942,             0.03817,            0.029992,             0.12661,            0.016959,           0.0053166,             0.11257,             0.15666,            0.036511,            0.013654,            0.003654,            0.003654
                  91,             0.11297,             0.37196,            0.037445,             0.04455,             0.17888,            0.028404,           0.0069136,             0.11242,              0.1576,            0.035724,            0.012635,           0.0036345,           0.0036345
                  92,             0.10783,             0.18771,             0.03712,             0.04455,             0.17888,            0.028404,           0.0069136,             0.11242,              0.1576,            0.035724,            0.011614,           0.0036138,           0.0036138
                  93,             0.11032,             0.14937,            0.035322,             0.04455,             0.17888,            0.028404,           0.0069136,             0.11242,              0.1576,            0.035724,            0.010592,           0.0035917,           0.0035917
                  94,             0.11615,             0.14028,             0.03669,             0.04455,             0.17888,            0.028404,           0.0069136,             0.11242,              0.1576,            0.035724,           0.0095682,           0.0035682,           0.0035682
                  95,             0.10815,             0.25302,            0.036917,            0.032929,              0.1766,            0.020482,           0.0060185,              0.1104,             0.16236,             0.03544,           0.0085435,           0.0035435,           0.0035435
                  96,             0.10602,             0.22606,            0.036109,            0.032929,              0.1766,            0.020482,           0.0060185,              0.1104,             0.16236,             0.03544,           0.0075174,           0.0035174,           0.0035174
                  97,             0.10624,             0.15125,             0.03512,            0.032929,              0.1766,            0.020482,           0.0060185,              0.1104,             0.16236,             0.03544,           0.0064901,           0.0034901,           0.0034901
                  98,             0.11154,             0.21205,            0.037527,            0.032929,              0.1766,            0.020482,           0.0060185,              0.1104,             0.16236,             0.03544,           0.0054614,           0.0034614,           0.0034614
                  99,             0.10988,             0.18041,            0.036524,            0.038859,             0.18342,            0.025319,           0.0063277,             0.10827,             0.16754,            0.034589,           0.0044313,           0.0034313,           0.0034313
                 100,              0.1114,              0.2548,            0.036611,            0.038859,             0.18342,            0.025319,           0.0063277,             0.10827,             0.16754,            0.034589,              0.0034,              0.0034,              0.0034
                 101,             0.10234,             0.20853,            0.035661,            0.038859,             0.18342,            0.025319,           0.0063277,             0.10827,             0.16754,            0.034589,              0.0034,              0.0034,              0.0034
                 102,             0.10223,             0.22201,            0.036481,            0.038859,             0.18342,            0.025319,           0.0063277,             0.10827,             0.16754,            0.034589,            0.003334,            0.003334,            0.003334
                 103,             0.10897,             0.26504,             0.03573,            0.070854,             0.14564,            0.035927,           0.0079644,             0.10877,              0.1676,            0.035065,            0.003268,            0.003268,            0.003268
                 104,             0.11261,             0.23081,            0.036805,            0.070854,             0.14564,            0.035927,           0.0079644,             0.10877,              0.1676,            0.035065,            0.003202,            0.003202,            0.003202
                 105,             0.10237,             0.23404,            0.035541,            0.070854,             0.14564,            0.035927,           0.0079644,             0.10877,              0.1676,            0.035065,            0.003136,            0.003136,            0.003136
                 106,             0.10874,             0.23751,            0.037649,            0.070854,             0.14564,            0.035927,           0.0079644,             0.10877,              0.1676,            0.035065,             0.00307,             0.00307,             0.00307
                 107,             0.11104,             0.19919,            0.036874,            0.037708,             0.18633,            0.023224,           0.0058892,             0.10725,             0.17274,            0.034552,            0.003004,            0.003004,            0.003004
                 108,             0.11475,             0.16157,            0.036693,            0.037708,             0.18633,            0.023224,           0.0058892,             0.10725,             0.17274,            0.034552,            0.002938,            0.002938,            0.002938
                 109,             0.10289,             0.19189,            0.034225,            0.037708,             0.18633,            0.023224,           0.0058892,             0.10725,             0.17274,            0.034552,            0.002872,            0.002872,            0.002872
                 110,             0.10909,             0.21962,             0.03597,            0.037708,             0.18633,            0.023224,           0.0058892,             0.10725,             0.17274,            0.034552,            0.002806,            0.002806,            0.002806
                 111,             0.11038,             0.17056,             0.03474,            0.045115,             0.14799,            0.033637,           0.0085339,             0.10558,             0.17574,             0.03436,             0.00274,             0.00274,             0.00274
                 112,             0.10846,             0.26092,            0.035011,            0.045115,             0.14799,            0.033637,           0.0085339,             0.10558,             0.17574,             0.03436,            0.002674,            0.002674,            0.002674
                 113,             0.11374,              0.2855,            0.035521,            0.045115,             0.14799,            0.033637,           0.0085339,             0.10558,             0.17574,             0.03436,            0.002608,            0.002608,            0.002608
                 114,              0.1088,             0.26162,            0.035983,            0.045115,             0.14799,            0.033637,           0.0085339,             0.10558,             0.17574,             0.03436,            0.002542,            0.002542,            0.002542
                 115,             0.11216,             0.16936,            0.037792,            0.048393,             0.22452,            0.036452,           0.0088713,             0.10433,             0.17399,            0.033719,            0.002476,            0.002476,            0.002476
                 116,             0.11209,             0.27102,            0.036047,            0.048393,             0.22452,            0.036452,           0.0088713,             0.10433,             0.17399,            0.033719,             0.00241,             0.00241,             0.00241
                 117,             0.11212,             0.21688,            0.036759,            0.048393,             0.22452,            0.036452,           0.0088713,             0.10433,             0.17399,            0.033719,            0.002344,            0.002344,            0.002344
                 118,             0.10787,             0.16983,            0.035474,            0.048393,             0.22452,            0.036452,           0.0088713,             0.10433,             0.17399,            0.033719,            0.002278,            0.002278,            0.002278
                 119,             0.10856,             0.18027,            0.034949,            0.053968,             0.25508,             0.03789,            0.011295,             0.10426,             0.17066,            0.033536,            0.002212,            0.002212,            0.002212
                 120,             0.10068,             0.23224,            0.035523,            0.053968,             0.25508,             0.03789,            0.011295,             0.10426,             0.17066,            0.033536,            0.002146,            0.002146,            0.002146
                 121,             0.11206,             0.28382,            0.034722,            0.053968,             0.25508,             0.03789,            0.011295,             0.10426,             0.17066,            0.033536,             0.00208,             0.00208,             0.00208
                 122,             0.10588,             0.20597,            0.035689,            0.053968,             0.25508,             0.03789,            0.011295,             0.10426,             0.17066,            0.033536,            0.002014,            0.002014,            0.002014
                 123,             0.10555,             0.23898,            0.036482,            0.065326,             0.19384,            0.050975,            0.012453,             0.10286,             0.17303,            0.034634,            0.001948,            0.001948,            0.001948
                 124,             0.10298,             0.18155,            0.036132,            0.065326,             0.19384,            0.050975,            0.012453,             0.10286,             0.17303,            0.034634,            0.001882,            0.001882,            0.001882
                 125,             0.10279,              0.2944,            0.037053,            0.065326,             0.19384,            0.050975,            0.012453,             0.10286,             0.17303,            0.034634,            0.001816,            0.001816,            0.001816
                 126,              0.1046,             0.23342,            0.034573,            0.065326,             0.19384,            0.050975,            0.012453,             0.10286,             0.17303,            0.034634,             0.00175,             0.00175,             0.00175
                 127,             0.11165,             0.22956,            0.036184,            0.071594,             0.25448,            0.061793,            0.014994,             0.10244,             0.17386,            0.034323,            0.001684,            0.001684,            0.001684
                 128,             0.10782,             0.15684,            0.034693,            0.071594,             0.25448,            0.061793,            0.014994,             0.10244,             0.17386,            0.034323,            0.001618,            0.001618,            0.001618
                 129,             0.11038,             0.22163,            0.032259,            0.071594,             0.25448,            0.061793,            0.014994,             0.10244,             0.17386,            0.034323,            0.001552,            0.001552,            0.001552
                 130,             0.10952,             0.19267,            0.035707,            0.071594,             0.25448,            0.061793,            0.014994,             0.10244,             0.17386,            0.034323,            0.001486,            0.001486,            0.001486
                 131,             0.10366,             0.18966,            0.038482,            0.086331,              0.1608,            0.059333,            0.014464,             0.10167,             0.17471,            0.034781,             0.00142,             0.00142,             0.00142
                 132,             0.10621,             0.16945,            0.034931,            0.086331,              0.1608,            0.059333,            0.014464,             0.10167,             0.17471,            0.034781,            0.001354,            0.001354,            0.001354
                 133,             0.10356,             0.19673,            0.033529,            0.086331,              0.1608,            0.059333,            0.014464,             0.10167,             0.17471,            0.034781,            0.001288,            0.001288,            0.001288
                 134,             0.11131,              0.2399,            0.034627,            0.086331,              0.1608,            0.059333,            0.014464,             0.10167,             0.17471,            0.034781,            0.001222,            0.001222,            0.001222
                 135,             0.10814,             0.30219,            0.034604,            0.089128,             0.17108,            0.049411,            0.012617,             0.10108,             0.17521,            0.035266,            0.001156,            0.001156,            0.001156
                 136,             0.10783,             0.20377,            0.034864,            0.089128,             0.17108,            0.049411,            0.012617,             0.10108,             0.17521,            0.035266,             0.00109,             0.00109,             0.00109
                 137,             0.11067,             0.22466,            0.033789,            0.089128,             0.17108,            0.049411,            0.012617,             0.10108,             0.17521,            0.035266,            0.001024,            0.001024,            0.001024
                 138,             0.10562,             0.20242,            0.036784,            0.089128,             0.17108,            0.049411,            0.012617,             0.10108,             0.17521,            0.035266,            0.000958,            0.000958,            0.000958
                 139,             0.11188,             0.23299,            0.036157,            0.071677,             0.23661,            0.055311,            0.013672,             0.10092,             0.17547,            0.035028,            0.000892,            0.000892,            0.000892
                 140,             0.10487,             0.18998,            0.035106,            0.071677,             0.23661,            0.055311,            0.013672,             0.10092,             0.17547,            0.035028,            0.000826,            0.000826,            0.000826
                 141,              0.1124,              0.3363,            0.035594,            0.071677,             0.23661,            0.055311,            0.013672,             0.10092,             0.17547,            0.035028,             0.00076,             0.00076,             0.00076
                 142,             0.11195,             0.22985,            0.035384,            0.071677,             0.23661,            0.055311,            0.013672,             0.10092,             0.17547,            0.035028,            0.000694,            0.000694,            0.000694
                 143,             0.10212,             0.22502,            0.034551,            0.065111,             0.22748,            0.050275,            0.011887,             0.10096,             0.17547,            0.034259,            0.000628,            0.000628,            0.000628
                 144,             0.11334,             0.30839,            0.033903,            0.065111,             0.22748,            0.050275,            0.011887,             0.10096,             0.17547,            0.034259,            0.000562,            0.000562,            0.000562
                 145,             0.10359,             0.20176,            0.037156,            0.065111,             0.22748,            0.050275,            0.011887,             0.10096,             0.17547,            0.034259,            0.000496,            0.000496,            0.000496
                 146,             0.11375,             0.21367,            0.032658,            0.065111,             0.22748,            0.050275,            0.011887,             0.10096,             0.17547,            0.034259,             0.00043,             0.00043,             0.00043
                 147,             0.10326,             0.17077,            0.035592,            0.074923,             0.21674,            0.055598,             0.01326,             0.10071,             0.17595,            0.034177,            0.000364,            0.000364,            0.000364
                 148,            0.099882,             0.26031,             0.03664,            0.074923,             0.21674,            0.055598,             0.01326,             0.10071,             0.17595,            0.034177,            0.000298,            0.000298,            0.000298
                 149,             0.10413,             0.17497,             0.03623,            0.074923,             0.21674,            0.055598,             0.01326,             0.10071,             0.17595,            0.034177,            0.000232,            0.000232,            0.000232
